"","N","Model","loo","p_loo"
"1",1,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus4_fit_all.rds",1987.03872777525,34.8398207874665
"2",2,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus3_fit_all.rds",1959.31280832152,32.9386389590847
"3",3,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus2_fit_all.rds",1929.72685049667,30.6576727380856
"4",4,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus1_fit_all.rds",1902.93426583441,29.3410569709186
"5",5,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus0_fit_all.rds",1891.27341929743,29.3891738533838
"6",6,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus1_fit_all.rds",1910.34868834484,32.4617954105698
"7",7,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus2_fit_all.rds",1928.39567966064,33.4589520593021
"8",8,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus3_fit_all.rds",1972.1937450041,40.4409400642584
"9",9,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus4_fit_all.rds",2040.1824969899,41.2677392154115
"10",10,"Output_per_provice_NVT_PCV7_PCV13_noswitch_fit_all.rds",2048.4367227986,37.5840115892636
"11",11,"Output_per_provice_NVT_PCV7_PCV13_swicthes2009and2011_fit_all.rds",1906.97587935922,31.6674224179847
